Addresses,Prices,Beds,Baths,Square Footage,Listing Duration
"1204-1208 Greenwood-(2) 6 Bedroom, 2 Bathroom Duplex just west of WMU Kalamazoo, MI 49006","$2,600/mo",6bd,3ba,No Data,134
"715 Davis St Kalamazoo, MI 49007","$1,500/mo",5bd,2ba,"2,200 sqft",134
"3902 W Michigan 6BR 3.5 Bath near WMU **Available August 2022 Kalamazoo, MI 49006","$2,400/mo",6bd,3.5ba,No Data,134
"1124-1126 W Lafayette- Duplex Featuring 6 BR/3 Baths. *Available Fall 2022* Kalamazoo, MI 49006","$2,600 - $2,700/mo",6bd,3ba,No Data,134
"5819 Mount Vernon Ave Portage, MI 49024","$2,000/mo",3bd,2ba,"1,200 sqft (on 0.51 acres)",134
"4 Bedroom, 2 Bathroom - Townhomes close to WMU Kalamazoo, MI 49006","$1,775/mo",4bd,2ba,No Data,1
"1111 Douglas Terrace - 3 Unit in Stuart Neighborhood Near K College Kalamazoo, MI 49007",$650/mo,2bd,1ba,No Data,1
"6025 Briarcliff Path #C Kalamazoo, MI 49009","$1,095/mo",2bd,1ba,No Data,1
"713 Minor St- Duplex Near WMU in the Vine Neighborhood Kalamazoo, MI 49008",$850/mo,2bd,1ba,No Data,1
"1274 Red Pine Way Kalamazoo, MI 49006","$1,500/mo",4bd,2ba,"1,500 sqft",1
"142 Hutchinson St #E Kalamazoo, MI 49001",$900/mo,2bd,1ba,No Data,1
"828 Village Ct Kalamazoo, MI 49008","$1,450/mo",3bd,1ba,"1,050 sqft",1
"941 W Lovell St #2 Kalamazoo, MI 49007","$1,100/mo",2bd,1ba,650 sqft,1
"344 N Rose St #1 Kalamazoo, MI 49007","$2,500/mo",2bd,2ba,"1,200 sqft",1
"316 S Kalamazoo Mall #202 Kalamazoo, MI 49007","$3,200/mo",2bd,2ba,"1,935 sqft",1
"934 Bellevue Pl Kalamazoo, MI 49007","$1,750/mo",5bd,1.5ba,"1,645 sqft",1
"913 Egleston Ave #1 Kalamazoo, MI 49001",$975/mo,2bd,1ba,870 sqft,1
"3431 Kenbrooke Ct Kalamazoo, MI 49006","$1,000/mo",2bd,1.5ba,900 sqft,1
"711 N Dartmouth St Kalamazoo, MI 49006","$1,500/mo",2bd,1ba,900 sqft,1
"Address Not Disclosed Kalamazoo, MI 49001","$1,395/mo",3bd,1ba,"1,368 sqft",1
"1714 Upland Dr Kalamazoo, MI 49048","$1,900/mo",3bd,2ba,"1,600 sqft",1
"809 W Cedar St #3 Kalamazoo, MI 49007",$825/mo,1bd,1ba,600 sqft,1
"142 Hutchinson St #D Kalamazoo, MI 49001",$900/mo,2bd,1ba,No Data,1
"809 W Cedar St #2 Kalamazoo, MI 49007",$950/mo,1bd,1ba,700 sqft,1
"808 W Kalamazoo Ave #3 Kalamazoo, MI 49007","$1,250/mo",4bd,1ba,No Data,1
"1329 Huntington Ave Kalamazoo, MI 49048",$850/mo,2bd,1ba,846 sqft (on 0.61 acres),1
"430 W Walnut St #2 Kalamazoo, MI 49007","$1,100/mo",3bd,1ba,920 sqft,1
"441 Woodward Ave #B Kalamazoo, MI 49007","$1,100/mo",1bd,1ba,700 sqft,1
"1726 Commonwealth Ave Kalamazoo, MI 49006",$950/mo,2bd,1ba,No Data,1
"3429 W Michigan Ave Kalamazoo, MI 49006","$1,800/mo",6bd,2ba,No Data,1
"222 N Kalamazoo Mall #220 Kalamazoo, MI 49007","$2,495/mo",2bd,2ba,"1,600 sqft (on 0.28 acres)",1
"3501 Claxton St Kalamazoo, MI 49048","$1,850/mo",3bd,2ba,"1,308 sqft (on 0.26 acres)",1
"1264 Red Pine Way Kalamazoo, MI 49006","$1,500/mo",4bd,2ba,"1,500 sqft",1
"1108 Woodward Ave Kalamazoo, MI 49007","$1,495/mo",3bd,1ba,"1,502 sqft",1
"336 S Kalamazoo Mall #602 Kalamazoo, MI 49007","$3,200/mo",2bd,2ba,"1,750 sqft",1
"5723 E G Ave #1 Kalamazoo, MI 49004",$950/mo,2bd,1ba,No Data,1
"809 W Cedar St #4 Kalamazoo, MI 49007",$975/mo,2bd,1ba,875 sqft,1
"1405 S Burdick St Kalamazoo, MI 49001","$1,349/mo",3bd,1ba,"1,186 sqft",1
"902 Davis St Kalamazoo, MI 49008","$1,600/mo",5bd,1.5ba,"1,612 sqft",1
"208 Elm St #3 Kalamazoo, MI 49007","$1,250/mo",4bd,1ba,"1,000 sqft",1
"723 S Westnedge Ave #2 Kalamazoo, MI 49007","$1,200/mo",1bd,1ba,"1,200 sqft",1
"8951 Almena Dr Kalamazoo, MI 49009","$1,800/mo",3bd,2ba,"1,200 sqft (on 1.65 acres)",1
"1114 Hays Park Ave Kalamazoo, MI 49001","$1,695/mo",3bd,1ba,"1,395 sqft (on 0.91 acres)",1
