Addresses,Prices,Beds,Baths,Square Footage,Listing Duration
"525 Wheaton Ave Kalamazoo, MI 49008","$1,800/mo",5bd,2ba,"1,664 sqft (on 0.35 acres)",10
"230 Maple St Parchment, MI 49004","$1,100/mo",2bd,1ba,"1,318 sqft",10
"1202 4th St Kalamazoo, MI 49001","$1,000/mo",2bd,1ba,771 sqft,10
"437 W Crooked Lake Dr Kalamazoo, MI 49009","$1,850/mo",1bd,1.5ba,750 sqft (on 0.30 acres),10
"4511 Clayborne Dr Kalamazoo, MI 49009",$750/mo,Studio,1ba,288 sqft,10
"828 Gibson - Duplex Kalamazoo, MI 49001",$750/mo,1bd,1ba,No Data,10
"6165 Applegrove Ln Portage, MI 49024","$1,415/mo",3bd,2.5ba,"1,130 sqft",10
"6042 Applegrove Ln Portage, MI 49024","$1,255/mo",1bd,1ba,640 sqft,10
"4821 Idlewood Ave Portage, MI 49024","$2,200/mo",4bd,3.5ba,"2,400 sqft",10
"10312 Pennridge Dr Portage, MI 49024","$2,095/mo",3bd,2ba,"1,530 sqft",10
"126 E Kilgore Rd #A Portage, MI 49002","$1,400/mo",2bd,2ba,"1,057 sqft",10
"4220 Chelten Ave Kalamazoo, MI 49006","$1,500/mo",3bd,2ba,"2,086 sqft (on 0.36 acres)",8
"110 E Michigan Ave #205 Kalamazoo, MI 49007","$2,650/mo",2bd,2ba,"1,750 sqft",8
"421 Bellevue Pl Kalamazoo, MI 49007","$1,600/mo",4bd,2ba,"1,604 sqft",8
"105 N Kendall Ave #2R Kalamazoo, MI 49006","$1,200/mo",2bd,1ba,790 sqft,8
"110 E Michigan Ave #402 Kalamazoo, MI 49007","$2,500/mo",1bd,1ba,"1,475 sqft",8
"2212 Sagebrush St Kalamazoo, MI 49006","$2,095/mo",3bd,2.5ba,"1,840 sqft",8
"527 Idaho Ave Portage, MI 49024",$900/mo,2bd,1ba,No Data,8
"6790 Texas Dr Kalamazoo, MI 49009","$1,100/mo",2bd,1ba,800 sqft (on 0.60 acres),1
"3449 Kenbrooke Ct Kalamazoo, MI 49006",$875/mo,2bd,1.5ba,894 sqft,1
"1925 Nichols - Duplex Kalamazoo, MI 49006",$875/mo,2bd,1ba,No Data,1
"618 W Lovell St #2 Kalamazoo, MI 49007",$825/mo,1bd,1ba,700 sqft,1
"903 Westfall Ave Kalamazoo, MI 49006","$1,800/mo",5bd,2ba,902 sqft,1
"1028 Jackson St #1 Kalamazoo, MI 49001","$1,195/mo",2bd,1ba,880 sqft,1
"1028 Jackson St #2 Kalamazoo, MI 49001","$1,195/mo",2bd,1ba,880 sqft,1
"1023 Washington Ave #1 Kalamazoo, MI 49001",$700/mo,1bd,1ba,650 sqft,1
"1126-1128 Greenwood- Duplex featuring (2) 4 BR/2BA Units West of WMU Kalamazoo, MI 49006","$1,800/mo",4bd,2ba,No Data,1
"3009 W Michigan Ave Kalamazoo, MI 49006","$2,700/mo",6bd,2ba,"1,500 sqft (on 0.25 acres)",1
"1120-1122 W Laffayette- Duplex Featuring 2, 4 BR/4.5 Bath Units. Kalamazoo, MI 49006","$1,900/mo",4bd,4.5ba,No Data,1
"428 Douglas Ave #2 Kalamazoo, MI 49007","$2,000/mo",4bd,4ba,"1,500 sqft",1
"2026 Woodward Ave Kalamazoo, MI 49007","$2,500/mo",4bd,2ba,"1,310 sqft (on 0.92 acres)",1
"1262 Redpine Way Kalamazoo, MI 49006","$1,600/mo",4bd,2ba,"1,500 sqft",1
"134 S Clarendon St Kalamazoo, MI 49006","$1,500/mo",3bd,2.5ba,"1,568 sqft",1
"441 W Cedar St #2 Kalamazoo, MI 49007",$900/mo,1bd,1ba,700 sqft,1
"6740 Amberly St Portage, MI 49024","$1,900/mo",4bd,2ba,"1,389 sqft",1
